,soldDate,propertyType,address,city,zipOrPostalCode,price,beds,baths,location,squareFeet,lotSize,yearBuilt,ppsf,latitude,longitude,walkScore,bikeScore,transitScore,rentalValue,elementry,middle,high,listPrice
3000,December-27-2023,Single Family Residential,2862 Glen Ascot Way,San Jose,95148.0,1626000.0,4.0,3.0,SJOS - San Jose,2606.0,6750.0,1992.0,624.0,37.3314803,-121.8039668,31.0,66.0,51.0,5328.0,4.0,5.0,4.0,1699000.0
3001,February-26-2024,Single Family Residential,15148 Bel Escou Dr,San Jose,95124.0,2270000.0,3.0,2.0,SAN JOSE,1676.0,7841.0,1955.0,1354.0,37.2485251,-121.932245,54.0,50.0,35.0,4449.0,9.0,8.0,8.0,1995000.0
3002,February-12-2024,Single Family Residential,4921 Birmingham Dr,San Jose,95136.0,1730000.0,4.0,2.0,SAN JOSE,2084.0,6098.0,1970.0,830.0,37.2626652,-121.8466322,,,,,,,,
3003,November-7-2023,Single Family Residential,2719 Grandview Dr,San Jose,95133.0,1200000.0,4.0,2.0,SAN JOSE,1590.0,6279.0,1969.0,755.0,37.3783938,-121.8487443,,,,,,,,
3004,March-4-2024,Single Family Residential,1293 Greenbriar Ave,San Jose,95128.0,1612000.0,3.0,2.0,SAN JOSE,1468.0,6098.0,1985.0,1098.0,37.3017169,-121.946096,70.0,71.0,45.0,3907.0,6.0,3.0,6.0,1498000.0
3005,October-10-2023,Single Family Residential,921 Whitethorne Dr,San Jose,95128.0,1510000.0,3.0,2.0,SAN JOSE,1469.0,8058.0,1956.0,1028.0,37.3008597,-121.9336006,75.0,82.0,46.0,3734.0,6.0,3.0,6.0,1295000.0
3006,January-18-2024,Single Family Residential,1995 Lakewood Dr,San Jose,95132.0,1140000.0,4.0,2.0,SAN JOSE,1236.0,5361.0,1973.0,922.0,37.40603961982118,-121.8815311,66.0,63.0,58.0,3852.0,6.0,5.0,7.0,998000.0
3007,February-26-2024,Single Family Residential,7079 Via Blanca,San Jose,95139.0,1450000.0,3.0,2.0,SAN JOSE,1308.0,6098.0,1972.0,1109.0,37.2319441,-121.7684943,58.0,54.0,31.0,3645.0,5.0,4.0,8.0,1098000.0
3008,September-26-2023,Single Family Residential,539 Menker Ave,San Jose,95128.0,1225000.0,3.0,2.0,SAN JOSE,1328.0,6605.0,1949.0,922.0,37.3184673,-121.9219108,74.0,65.0,50.0,3671.0,4.0,3.0,6.0,1098000.0
3010,March-7-2024,Single Family Residential,1719 Sageland Dr,San Jose,95131.0,1650000.0,4.0,2.0,SAN JOSE,1534.0,6800.0,1975.0,1076.0,37.3798678,-121.8770962,51.0,64.0,49.0,3902.0,6.0,5.0,7.0,1450000.0
3011,January-22-2024,Single Family Residential,1950 ENSIGN Way,San Jose,95133.0,1680000.0,4.0,2.5,SAN JOSE,2124.0,6098.0,1979.0,791.0,37.3761417,-121.8672239,37.0,65.0,54.0,4903.0,6.0,6.0,7.0,1488888.0
3012,February-13-2024,Single Family Residential,2649 Corde Terra Cir,San Jose,95111.0,1211888.0,3.0,2.5,San Jose,1650.0,1307.0,2007.0,734.0,37.3054394,-121.8479103,62.0,64.0,44.0,4140.0,4.0,2.0,4.0,998000.0
3013,September-19-2023,Single Family Residential,920 S 6th St,San Jose,95112.0,1018000.0,2.0,2.0,SAN JOSE,1050.0,6348.0,1901.0,970.0,37.3249302,-121.8746949,,,,,,,,
3014,March-11-2024,Single Family Residential,2203 Hicks Ave,San Jose,95125.0,1910000.0,4.0,2.0,SAN JOSE,1663.0,6098.0,1952.0,1149.0,37.2863731,-121.9005728,,,,,,,,
3015,December-14-2023,Single Family Residential,5373 Estrade Dr,San Jose,95118.0,1360000.0,3.0,2.0,SAN JOSE,1304.0,5663.0,1959.0,1043.0,37.2457232,-121.8947486,78.0,53.0,30.0,3910.0,6.0,6.0,9.0,1200000.0
3016,October-2-2023,Single Family Residential,6720 Wisteria Way,San Jose,95129.0,2896000.0,3.0,2.0,SAN JOSE,1765.0,7920.0,1957.0,1641.0,37.2974617,-122.0221885,41.0,63.0,28.0,0.0,7.0,8.0,9.0,2390000.0
3018,March-6-2024,Single Family Residential,168 Park Dartmouth,San Jose,95136.0,1100000.0,4.0,2.0,San Jose,2084.0,5227.0,1977.0,528.0,37.2684551,-121.8308739,51.0,74.0,48.0,4470.0,4.0,3.0,4.0,
3019,February-26-2024,Single Family Residential,3128 Promontory Way,San Jose,95135.0,2500000.0,4.0,3.0,SAN JOSE,2166.0,12197.0,1996.0,1154.0,37.2720276,-121.738136,4.0,8.0,0.0,5483.0,6.0,7.0,9.0,2099000.0
3020,February-14-2024,Single Family Residential,4425 Lonardo Ave,San Jose,95118.0,1550000.0,3.0,1.5,SAN JOSE,1120.0,7405.0,1962.0,1384.0,37.2608434,-121.8901246,62.0,71.0,26.0,0.0,6.0,5.0,6.0,1200000.0
3021,November-28-2023,Single Family Residential,3604 Nortree St,San Jose,95148.0,1700000.0,4.0,2.0,EVERGREEN,1772.0,5888.0,1978.0,959.0,37.3341938,-121.7765754,0.0,27.0,17.0,4432.0,4.0,6.0,9.0,1599000.0
3022,February-6-2024,Single Family Residential,1483 Redmond Ave,San Jose,95120.0,1999999.0,3.0,2.0,SAN JOSE,1785.0,8276.0,1973.0,1120.0,37.2299052,-121.8954155,35.0,51.0,26.0,4639.0,6.0,6.0,8.0,1748000.0
3023,December-1-2023,Single Family Residential,4620 Marbella Ct,San Jose,95124.0,2150000.0,4.0,3.0,SAN JOSE,1840.0,4509.0,1993.0,1168.0,37.2535458,-121.9377738,12.0,35.0,0.0,5324.0,9.0,8.0,8.0,1995000.0
3024,September-18-2023,Single Family Residential,6853 Glenview Dr,San Jose,95120.0,2310000.0,4.0,3.0,SAN JOSE,1974.0,12286.0,1966.0,1170.0,37.2113835,-121.8540594,43.0,52.0,24.0,5469.0,8.0,7.0,6.0,2200000.0
